v1_lat,v1_lon,v2_lat,v2_lon,v3_lat,v3_lon,v4_lat,v4_lon,v5_lat,v5_lon
53.5503376,9.9695881,53.5503853,9.969503,53.5503794,9.9695522,53.5503502,9.9696016,53.550316,9.9694752
53.5503376,9.9695881,53.5503853,9.969503,53.5503794,9.9695522,53.5503502,9.9696016,53.550316,9.9694752
53.5503376,9.9695881,53.5503853,9.969503,53.5503794,9.9695522,53.5503502,9.9696016,53.550316,9.9694752
53.5503376,9.9695881,53.5503853,9.969503,53.5503794,9.9695522,53.5503502,9.9696016,53.550316,9.9694752
53.5503376,9.9695881,53.5503853,9.969503,53.5503794,9.9695522,53.5503502,9.9696016,53.550316,9.9694752
53.5503376,9.9695881,53.5503853,9.969503,53.5503794,9.9695522,53.5503502,9.9696016,53.550316,9.9694752
53.5503376,9.9695881,53.5503853,9.969503,53.5503794,9.9695522,53.5503502,9.9696016,53.550316,9.9694752
53.5502883,9.9695901,53.5503451,9.9694573,53.5503146,9.9695113,53.5502739,9.9695511,53.550316,9.9694752
53.5502883,9.9695901,53.5503451,9.9694573,53.5503146,9.9695113,53.5502739,9.9695511,53.550316,9.9694752
53.5502883,9.9695901,53.5503451,9.9694573,53.5503146,9.9695113,53.5502739,9.9695511,53.550316,9.9694752
53.5502883,9.9695901,53.5503451,9.9694573,53.5503146,9.9695113,53.5502739,9.9695511,53.550316,9.9694752
53.5502883,9.9695901,53.5503451,9.9694573,53.5503146,9.9695113,53.5502739,9.9695511,53.550316,9.9694752
53.550244,9.9695695,53.5502836,9.9694083,53.5502365,9.9694652,53.5502739,9.9695511,53.550316,9.9694752
53.550244,9.9695695,53.5502836,9.9694083,53.5502365,9.9694652,53.5502739,9.9695511,53.550316,9.9694752
53.550244,9.9695695,53.5502836,9.9694083,53.5502365,9.9694652,53.5502739,9.9695511,53.550316,9.9694752
53.5502088,9.9695493,53.550213,9.9693687,53.5502365,9.9694652,53.5502739,9.9695511,53.550316,9.9694752
53.5502088,9.9695493,53.550213,9.9693687,53.5502365,9.9694652,53.5502739,9.9695511,53.550316,9.9694752
53.550107,9.9695212,53.5501292,9.9693438,53.5501513,9.9694194,53.55019,9.9695148,53.5502123,9.9694224
53.5500239,9.9695162,53.5500356,9.9693483,53.5500586,9.9694132,53.5500984,9.9695044,53.5501187,9.969391
53.5499388,9.9695444,53.5499395,9.9693883,53.5499657,9.9694387,53.5500031,9.9695263,53.5500228,9.9693952
53.5498467,9.969591,53.5498226,9.9694673,53.5498692,9.9694989,53.5499039,9.9695778,53.5499092,9.9694451
53.5497525,9.9696479,53.5497116,9.9695702,53.5497692,9.9695757,53.5498009,9.9696484,53.5497993,9.9695226
53.5496553,9.9697094,53.5496017,9.969665,53.5496585,9.9696592,53.5496941,9.9697266,53.549686,9.9696086
53.5495548,9.9697767,53.5494906,9.9697291,53.5495461,9.9697393,53.5495758,9.9698048,53.549561,9.9697064
53.549457,9.969845,53.5494906,9.9697291,53.5495461,9.9697393,53.5495758,9.9698048,53.549561,9.9697064
53.5492607,9.9699759,53.5492696,9.9699108,53.5493113,9.9698964,53.5493431,9.9699564,53.5493047,9.9698842
53.5491607,9.9700445,53.5491591,9.9699666,53.5492029,9.9699731,53.5492363,9.9700356,53.5491938,9.969965
53.5490554,9.9701219,53.5490548,9.9699969,53.549095,9.9700511,53.5491257,9.9701118,53.54909,9.9700432
53.5489484,9.9701997,53.5489499,9.9700593,53.5489901,9.9701292,53.5490227,9.9701872,53.5489868,9.9701197
53.5487422,9.9703534,53.5487457,9.9702161,53.5487864,9.9702817,53.5488243,9.9703302,53.5487991,9.9702581
53.5486404,9.9704308,53.5486476,9.970295,53.5486918,9.9703546,53.5487366,9.970397,53.5487108,9.9703241
53.5485324,9.9705107,53.5485502,9.9703751,53.5485976,9.970428,53.548645,9.9704628,53.5486249,9.9703916
53.5484216,9.9705935,53.5484447,9.970457,53.5484975,9.9705056,53.5485497,9.9705324,53.5485405,9.9704557
53.5483052,9.970678,53.548336,9.9705405,53.5483915,9.9705849,53.5484467,9.9706097,53.5484502,9.9705238
53.5481873,9.9707645,53.5481075,9.9707144,53.5481717,9.9707489,53.5482292,9.970767,53.548237,9.9706831
53.5479598,9.9709309,53.5478791,9.9708746,53.5479416,9.9709247,53.5479088,9.9710045,53.5479097,9.9709298
53.5478511,9.9710108,53.5477745,9.9709503,53.54783,9.9710077,53.5478096,9.9710732,53.5478075,9.9710058
53.5477522,9.9710737,53.5477745,9.9709503,53.54783,9.9710077,53.5478096,9.9710732,53.5478075,9.9710058
53.5476591,9.9711114,53.547678,9.970997,53.5477244,9.9710829,53.5477142,9.9711237,53.5477089,9.9710677
53.5475714,9.9711287,53.5475872,9.9710545,53.5476243,9.9711254,53.5476227,9.9711533,53.5476161,9.9711063
53.5474202,9.9711212,53.5474136,9.9711138,53.5474391,9.9711505,53.547451,9.9711323,53.5474417,9.971114
